QuestionNumber,Type,Excerpt,Question
15,Monologue,"During the summer holidays, I worked in a small café near the beach. I served drinks and cleaned tables. Sometimes it was very busy, especially in the afternoon. Even though I was tired, I enjoyed meeting new people every day.","Where did the speaker work in summer?"
16,Monologue,"I usually go shopping on Saturday mornings. There is a market near my house where I can buy fresh fruit and vegetables. The prices are good, and the sellers are friendly. I prefer shopping there instead of going to a big supermarket.","What does the speaker buy at the market?"
17,Monologue,"Last year, our class organized a charity event at school. We sold homemade cakes and drinks to raise money. Many students and teachers came to support us. In the end, we collected enough money to help a local hospital.","Why did they sell cakes?"
18,Monologue,"I like exercising after work because it helps me relax. Sometimes I go running in the park, and other times I go to the gym with my friend. After exercising, I feel more energetic and happy.","How does the speaker feel after exercising?"
19,Monologue,"My sister is studying to become a nurse. She has classes during the week and works at a hospital on weekends. She says the job is challenging, but she loves helping people when they are sick.","What is the sister studying to become?"
20,Monologue,"Next month, I am moving to a new apartment closer to my office. The apartment is smaller, but it is modern and bright. I am happy because I will spend less time traveling to work every day.","Why is the speaker moving?"
21,Dialogue,"I’ve been thinking about applying for the exchange program next year. - Really? That sounds exciting. Where would you like to go? - I’m considering Canada because I want to improve my English and experience a different culture. - It would be a great opportunity, but have you checked the requirements? - Not yet. I know I need good grades and a recommendation from a teacher, so I plan to speak to my English teacher this week.","Why does the student want to go to Canada?"
22,Dialogue,"You seem stressed lately. Is everything okay? - I’m just overwhelmed with work. We have a big project deadline next Friday, and I’m responsible for organizing the presentation. - Maybe you should ask your team for help. - You’re right. I sometimes try to do everything myself, but this time I think I need support to finish everything on time and reduce the pressure.","Why is the speaker stressed?"
23,Dialogue,"Have you decided what to study at university? - I’m still unsure, but I’m interested in environmental science. - That’s a good choice. There are many job opportunities in renewable energy and conservation. - Yes, and I want a career where I can make a positive impact on the planet instead of just working for money.","What attracts the speaker to environmental science?"
24,Dialogue,"Did you enjoy working from home last month? - In some ways, yes. I saved time because I didn’t have to commute, and I could organize my schedule better. - So why are you back at the office now? - I realized I missed face-to-face communication with my colleagues and found it harder to concentrate at home.","Why did the speaker prefer returning to the office?"
25,Dialogue,"I’m thinking about buying a second-hand car instead of a new one. - That might be more affordable, but you should check its condition carefully. - Yes, I plan to take a mechanic with me before making a decision. - That’s smart. A cheaper car can sometimes have hidden problems that cost more in the long term.","Why will the speaker take a mechanic?"
26,Dialogue,"Have you heard about the new gym opening near our neighborhood? - Yes, I saw an advertisement yesterday. They offer free classes during the first week. - That’s tempting. I’ve wanted to start exercising regularly, but I never find the motivation. - Maybe joining together would help us stay committed.","What might help them stay motivated?"
27,Dialogue,"Why did you decide to learn how to cook? - After moving into my own apartment, I realized eating out every day was expensive and unhealthy. - That makes sense. Have you improved since you started? - Definitely. At first, I burned everything, but now I can prepare simple and tasty meals without following a recipe.","Why did the speaker start cooking?"
28,Monologue,"Last year, I participated in a volunteer program that focused on cleaning local beaches. Every weekend, a group of us collected plastic waste and separated it for recycling. At first, I joined because a friend invited me, but over time I became more aware of how pollution affects marine life. The experience changed my habits, and now I try to reduce my use of single-use plastics in everyday life.","How did the program influence the speaker?"
29,Monologue,"When I started my first full-time job, I struggled to manage my time effectively. I often stayed late at the office because I underestimated how long tasks would take. After a few months, I began using a digital planner to organize my schedule and set realistic goals. As a result, I became more productive and had more free time in the evenings.","What helped the speaker become more productive?"
30,Monologue,"During my trip to Japan, I was impressed by how organized public transportation was. Trains arrived exactly on time, and stations were clearly marked in different languages. Although I didn’t speak Japanese fluently, I was able to travel easily across the country. This experience made me realize the importance of efficient infrastructure in daily life.","What impressed the speaker about Japan?"
31,Monologue,"In recent years, many companies have started offering flexible working hours. Instead of following a strict nine-to-five schedule, employees can choose when to begin and finish their workday. This system allows people to balance their professional and personal responsibilities more effectively. However, it also requires strong self-discipline and good communication within teams.","What is one advantage of flexible working hours?"
32,Monologue,"I used to avoid public speaking because I was afraid of making mistakes. My hands would shake, and I would forget what I wanted to say. To overcome this fear, I joined a local debate club where members practiced speaking regularly. Over time, I gained confidence and learned how to organize my ideas clearly.","How did the speaker overcome the fear of public speaking?"
33,Monologue,"Technology has changed the way we communicate with one another. While social media platforms allow us to stay connected instantly, they can also reduce the quality of face-to-face conversations. Some people feel that online communication makes relationships less personal. Finding a balance between digital and real-life interaction is becoming increasingly important.","What concern does the speaker mention about social media?"
34,Monologue,"After graduating from university, I took a gap year before starting my career. I traveled to several countries, worked temporary jobs, and learned new skills. Although some people questioned my decision, the experience helped me understand what I truly wanted to do professionally. It also made me more independent and adaptable.","Why was the gap year valuable for the speaker?"
35,Monologue,"Many cities are encouraging citizens to use bicycles instead of cars to reduce traffic and pollution. To support this initiative, local governments are building more bike lanes and offering rental services at affordable prices. While not everyone can cycle long distances, these changes make urban transportation more sustainable and environmentally friendly.","What are cities doing to encourage cycling?"
